review_id,product_id,customer_id,rating,review_date
137,35,49,3,2021-02-28
138,32,21,5,2021-03-02
139,30,74,1,2021-03-04
140,39,64,3,2021-03-06
141,49,5,1,2021-03-08
142,12,100,4,2021-03-10
143,41,70,1,2021-03-12
144,47,90,4,2021-03-14
145,18,4,2,2021-03-16
146,21,39,2,2021-03-18
147,13,35,5,2021-03-20
148,21,1,3,2021-03-22
149,8,24,5,2021-03-24
150,46,57,4,2021-03-26
151,40,100,5,2021-03-28
152,46,70,1,2021-03-30
153,7,41,4,2021-04-01
154,23,54,2,2021-04-03
155,44,46,3,2021-04-05
156,32,60,4,2021-04-07
157,11,60,4,2021-04-09
158,22,57,1,2021-04-11
159,22,31,3,2021-04-13
160,43,84,2,2021-04-15
161,25,24,4,2021-04-17
162,22,89,4,2021-04-19
163,28,36,1,2021-04-21
164,29,85,5,2021-04-23
165,13,30,2,2021-04-25
166,18,24,3,2021-04-27
167,2,30,4,2021-04-29
168,29,86,4,2021-05-01
169,21,92,2,2021-05-03
170,15,7,5,2021-05-05
171,27,35,4,2021-05-07
172,50,55,2,2021-05-09
173,31,92,1,2021-05-11
174,15,14,5,2021-05-13
175,23,10,3,2021-05-15
176,24,80,4,2021-05-17
177,44,16,2,2021-05-19
178,13,54,1,2021-05-21
179,22,95,3,2021-05-23
180,43,89,2,2021-05-25
181,37,77,2,2021-05-27
182,33,70,3,2021-05-29
183,3,44,1,2021-05-31
184,19,73,1,2021-06-02
185,23,45,5,2021-06-04
186,29,100,4,2021-06-06
187,30,56,3,2021-06-08
188,39,84,3,2021-06-10
189,44,82,3,2021-06-12
190,47,57,1,2021-06-14
191,25,21,4,2021-06-16
192,37,68,5,2021-06-18
193,47,50,2,2021-06-20
194,8,33,2,2021-06-22
195,42,91,3,2021-06-24
196,16,7,4,2021-06-26
197,8,70,1,2021-06-28
198,1,15,4,2021-06-30
199,44,82,4,2021-07-02
200,5,32,1,2021-07-04
